ID,Name,Link,UserName,Type,NumberTrack,Duration,DateCreate,Like,Repost,TrackIds
63,INDIE,/rapeanu-danut/sets/indie,Rapeanu Danut,None,336,55:10,2013-12-16T12:47:51.000Z,4,0,https://soundcloud.com/sharkdaddyz/the-xx-vs-chris-isaak-wicked;https://soundcloud.com/karterpike/notorious-b-i-g-vs-the-xx-a;https://soundcloud.com/strangetalkmusic/young-hearts;https://soundcloud.com/jezdior/candles
64,indie,/achmad-wahyu-912091640/sets/indie,Achmad Wahyu,None,324,27:05:48,2017-04-09T06:50:04.000Z,1,0,https://soundcloud.com/illona_a/illona-atsp-apa-daya-live-at-jas-jogja-audio-school;https://soundcloud.com/ariestyanova-giovani/di-ujung-malam;https://soundcloud.com/ariestyanova-giovani/angin-pujaan-hujan;https://soundcloud.com/ariestyanova-giovani/kucari-kamu
65,Indie,/bayu-muhammad-dzulfiqor/sets/indie,Bayu Muhammad Dzulfiqor,None,301,23:11:35,2017-10-02T17:00:00.000Z,2,0,https://soundcloud.com/sotardok-house/efek-rumah-kaca-jatuh-cinta;https://soundcloud.com/achrizkyrokenrol/efek-rumah-kaca-desember;https://soundcloud.com/ikhsan-agung/efek-rumah-kaca-sebelah-mata;https://soundcloud.com/user1158994/efek-rumah-kaca-cinta-melulu
66,Indie,/user-226914000/sets/indie,JuliusBeats,None,487,55:37,2020-08-30T07:28:17.000Z,3,0,https://soundcloud.com/verzache/january;https://soundcloud.com/verzache/what-happened-1;https://soundcloud.com/verzache/needs;https://soundcloud.com/verzache/losing-my-love
67,indie,/muhammad-randika-558167051/sets/indie,Muhammad Randika,None,303,22:58:48,2018-09-29T07:30:26.000Z,3,0,https://soundcloud.com/karolins/hujan-di-bulan-desember-cover;https://soundcloud.com/emapatduapuloh/fourtwnty-risalah-hati-dewa-ari-lesmana-chepot-jili-cover;https://soundcloud.com/senarsenja/bersenjagurau-1;https://soundcloud.com/senandungsore/senandung-sore-rindu-kota-hijau
68,INDIE,/jinken-go/sets/indie,jinken Go,None,458,55:44,2019-12-16T06:51:07.000Z,1,0,https://soundcloud.com/kh-i-nguy-n-772586147/thanh-pho-mo-mang-original;https://soundcloud.com/vovanduc/shenevaknows;https://soundcloud.com/convitcon/wakeupwithyou;https://soundcloud.com/parsg/goi-ten-em-di-par-sg-x-trashpaul
69,Indie♡,/user-849515998/sets/indie,ilovepenguins1226,None,257,51:32,2021-09-19T14:40:45.000Z,0,0,https://soundcloud.com/user972555424/cough-it-out-1;https://soundcloud.com/glmrkllsclthng/hebron;https://soundcloud.com/runforcoverrecords/modern-baseball-rock-bottom;https://soundcloud.com/aprilaye/how-do-i-tell-a-girl-i-want-to-kiss-her-modern-baseball
70,indie,/riley-jakubowow/sets/indie,l. Riley,None,407,44:37,2016-07-28T17:04:41.000Z,6,0,https://soundcloud.com/atlantic-records-uk/grouplove-colours;https://soundcloud.com/wildcubmusic/thunder-clatter;https://soundcloud.com/canvasback/grouplove-ways-to-go;https://soundcloud.com/atlas-genius/trojans
71,Indie New Arrivals: Stitches,/soundcloud-scenes/sets/stitches-indie-new-arrivals,Scenes: Indie,Indie,93,39:29,2019-03-13T21:15:55.000Z,"11,539",471,https://soundcloud.com/snailmailofficial/madonna;https://soundcloud.com/beachbunnymusic/oxygen;https://soundcloud.com/sasami-ashworth/the-greatest;https://soundcloud.com/thewarondrugs/i-dont-wanna-wait
72,Indie,/patricio-guzman12/sets/indie,patricioguzman,None,308,51:43,2021-07-22T01:26:47.000Z,2,0,https://soundcloud.com/phoenix/1901-1;https://soundcloud.com/kings-of-convenience-official/misread;https://soundcloud.com/kings-of-convenience-official/homesick;https://soundcloud.com/kings-of-convenience-official/know-how
73,indie,/user-889736851/sets/indie,SamFlynn,Electronic,411,57:48,2019-05-17T23:00:28.000Z,3,0,https://soundcloud.com/clonesofclones/somebody-else;https://soundcloud.com/prelow/mistakesremix;https://soundcloud.com/barsuk-records/phantogram-when-im-small;https://soundcloud.com/imaginedragons/emma
74,Chill Bedroom Pop: Cozy,/soundcloud-scenes/sets/cozy-chill-bedroom-pop,Scenes: Indie,Indie,98,19:47,2019-10-25T13:52:52.000Z,"14,955",677,https://soundcloud.com/mxmtoon/in-the-darkness-1;https://soundcloud.com/sipper-sipper-558811155/bite;https://soundcloud.com/jayxander/frank-ocean;https://soundcloud.com/sabrinacarpenter/skinny-dipping-acoustic
75,Indie,/josh-hernandez-834082330/sets/indie,Josh Hernandez,None,463,30:28:34,2020-10-07T23:03:18.000Z,1,0,https://soundcloud.com/sofiamills/sad-sad-sad;https://soundcloud.com/user-880014060/march-an-original-song-by;https://soundcloud.com/micha_h/love-is-a-losing-game-amy-winehouse-cover;https://soundcloud.com/nikola-pujic-1/01a
76,indie,/hmuna-fanai/sets/indie,hmuna fanai,Indie,327,22:31:58,2013-07-25T14:53:09.000Z,18,2,https://soundcloud.com/dog-and-panther/the-lake;https://soundcloud.com/dog-and-panther/13-home;https://soundcloud.com/aselephantsare/crystal;https://soundcloud.com/dog-and-panther/giant-hands-free-download
77,Indie,/user565454348/sets/indie,drewlad420,None,464,28:24:55,2019-03-20T10:50:18.000Z,0,0,https://soundcloud.com/user-335723836/long-coats;https://soundcloud.com/matt-maltese/complicated-avril;https://soundcloud.com/ceramicanimal/am-better-off-1;https://soundcloud.com/6664206996/welcome-to-my-gloomy-sunday
78,Indie,/vanessasalnave/sets/indie,vanessasalnave,None,355,24:47:00,2016-05-31T04:24:12.000Z,2,1,https://soundcloud.com/jerryfolkmusic/oh-wonder-lose-it-jerry-folk-remix;https://soundcloud.com/mrsuicidesheep/rust-tell-me-feat-cozy;https://soundcloud.com/milk-bone/pressure;https://soundcloud.com/lastlings/wavelength
